experiment_id	created_at	owner	factor_name	card_path	config_version	harness_version	gate_a_decision	result_summary	status	parent_experiment_id	run_dir	notes
exp_20260328T170933Z_rc_20260329_structural_activity_proxy_2026	2026-03-28T17:09:33.004758+00:00	codex	structural_activity_proxy	/Users/yxin/AI_Workstation/hk_factor_autoresearch/research_cards/examples/structural_activity_proxy_2026.md	phase_a_baseline_v1	phase_a_harness_v1	pass	No Phase A data-admissibility issue found.	keep		/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/exp_20260328T170933Z_rc_20260329_structural_activity_proxy_2026	baseline pass run
exp_20260328T171947Z_rc_20260329_structural_activity_proxy_2026	2026-03-28T17:19:47.147570+00:00	codex	structural_activity_proxy	/Users/yxin/AI_Workstation/hk_factor_autoresearch/research_cards/examples/structural_activity_proxy_2026.md	phase_a_baseline_v1	phase_a_harness_v1	pass	No Phase A data-admissibility issue found.	keep		/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/exp_20260328T171947Z_rc_20260329_structural_activity_proxy_2026	first verified data run
exp_20260328T173210Z_rc_20260329_structural_activity_proxy_2026	2026-03-28T17:32:10.687663+00:00	codex	structural_activity_proxy	/Users/yxin/AI_Workstation/hk_factor_autoresearch/research_cards/examples/structural_activity_proxy_2026.md	phase_a_baseline_v1	phase_a_harness_v1	pass	No Phase A data-admissibility issue found.	keep		/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/exp_20260328T173210Z_rc_20260329_structural_activity_proxy_2026	three-anchor verified run
exp_20260328T173717Z_rc_20260329_structural_activity_proxy_2026	2026-03-28T17:37:17.049490+00:00	codex	structural_activity_proxy	/Users/yxin/AI_Workstation/hk_factor_autoresearch/research_cards/examples/structural_activity_proxy_2026.md	phase_a_baseline_v1	phase_a_harness_v1	pass	No Phase A data-admissibility issue found.	keep		/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/exp_20260328T173717Z_rc_20260329_structural_activity_proxy_2026	diagnostics anchor run
exp_20260328T174546Z_rc_20260329_avg_trade_notional_bias_2026	2026-03-28T17:45:46.818083+00:00	codex	avg_trade_notional_bias	/Users/yxin/AI_Workstation/hk_factor_autoresearch/research_cards/examples/avg_trade_notional_bias_2026.md	phase_a_baseline_v1	phase_a_harness_v1	pass	No Phase A data-admissibility issue found.	keep		/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/exp_20260328T174546Z_rc_20260329_avg_trade_notional_bias_2026	second safe factor anchor run
exp_20260328T180031Z_rc_20260329_order_lifecycle_churn_2026	2026-03-28T18:00:31.315771+00:00	codex	order_lifecycle_churn	/Users/yxin/AI_Workstation/hk_factor_autoresearch/research_cards/examples/order_lifecycle_churn_2026.md	phase_a_baseline_v1	phase_a_harness_v1	pass	No Phase A data-admissibility issue found.	keep		/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/exp_20260328T180031Z_rc_20260329_order_lifecycle_churn_2026	third safe factor anchor run
exp_20260328T181910Z_rc_20260329_close_vwap_gap_intensity_2026	2026-03-28T18:19:10.446529+00:00	agent	close_vwap_gap_intensity	/Users/yxin/AI_Workstation/hk_factor_autoresearch/research_cards/examples/close_vwap_gap_intensity_2026.md	phase_a_baseline_v1	phase_a_harness_v1	pass	No Phase A data-admissibility issue found.	keep		/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/exp_20260328T181910Z_rc_20260329_close_vwap_gap_intensity_2026	fourth safe factor anchor run
exp_20260329T080841Z_rc_20260329_structural_activity_change_2026	2026-03-29T08:08:41.787167+00:00	agent	structural_activity_change	/Users/yxin/AI_Workstation/hk_factor_autoresearch/research_cards/examples/structural_activity_change_2026.md	phase_a_baseline_v1	phase_a_harness_v1	pass	No Phase A data-admissibility issue found.	keep		/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/exp_20260329T080841Z_rc_20260329_structural_activity_change_2026	autoresearch cycle verified run
exp_20260329T080843Z_rc_20260329_avg_trade_notional_bias_change_2026	2026-03-29T08:08:43.808184+00:00	agent	avg_trade_notional_bias_change	/Users/yxin/AI_Workstation/hk_factor_autoresearch/research_cards/examples/avg_trade_notional_bias_change_2026.md	phase_a_baseline_v1	phase_a_harness_v1	pass	No Phase A data-admissibility issue found.	keep		/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/exp_20260329T080843Z_rc_20260329_avg_trade_notional_bias_change_2026	autoresearch cycle verified run
exp_20260329T080845Z_rc_20260329_order_lifecycle_churn_change_2026	2026-03-29T08:08:45.680303+00:00	agent	order_lifecycle_churn_change	/Users/yxin/AI_Workstation/hk_factor_autoresearch/research_cards/examples/order_lifecycle_churn_change_2026.md	phase_a_baseline_v1	phase_a_harness_v1	pass	No Phase A data-admissibility issue found.	keep		/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/exp_20260329T080845Z_rc_20260329_order_lifecycle_churn_change_2026	autoresearch cycle verified run
